# Step | Energy (eV) | Status
 521 |  -611.374298 | Accepted
 522 |  -611.371017 | Accepted
 523 |  -611.375826 | Accepted
 526 |  -611.376384 | Accepted
 529 |  -611.375020 | Accepted
 530 |  -611.376656 | Accepted
 533 |  -611.374376 | Accepted
 534 |  -611.376727 | Accepted
 535 |  -611.376094 | Accepted
 537 |  -611.375603 | Accepted
 538 |  -611.374626 | Accepted
 539 |  -611.366636 | Accepted
 540 |  -611.376271 | Accepted
 541 |  -611.374658 | Accepted
 542 |  -611.372038 | Accepted
 543 |  -611.372174 | Accepted
 544 |  -611.372441 | Accepted
 545 |  -611.375556 | Accepted
 546 |  -611.371620 | Accepted
 547 |  -611.372397 | Accepted
 549 |  -611.365976 | Accepted
 550 |  -611.374081 | Accepted
 552 |  -611.374107 | Accepted
 553 |  -611.372209 | Accepted
 554 |  -611.370893 | Accepted
 555 |  -611.453193 | Accepted
 556 |  -611.459778 | Accepted
 557 |  -611.456596 | Accepted
 558 |  -611.445435 | Accepted
 559 |  -611.457917 | Accepted
 560 |  -611.461097 | Accepted
 561 |  -611.460664 | Accepted
 562 |  -611.458893 | Accepted
 563 |  -611.457611 | Accepted
 564 |  -611.456638 | Accepted
 565 |  -611.457348 | Accepted
 566 |  -611.457879 | Accepted
 567 |  -611.458283 | Accepted
 568 |  -611.457265 | Accepted
 569 |  -611.456598 | Accepted
 570 |  -611.448645 | Accepted
 572 |  -611.458524 | Accepted
 574 |  -611.459387 | Accepted
 575 |  -611.456442 | Accepted
 576 |  -611.461523 | Accepted
 577 |  -611.453632 | Accepted
 578 |  -611.456583 | Accepted
 579 |  -611.460029 | Accepted
 580 |  -611.459649 | Accepted
 581 |  -611.459706 | Accepted
 582 |  -611.473917 | Accepted
 583 |  -611.478501 | Accepted
 584 |  -611.478763 | Accepted
 585 |  -611.447481 | Accepted
 586 |  -611.458826 | Accepted
 587 |  -611.457866 | Accepted
 588 |  -611.464149 | Accepted
 589 |  -611.467800 | Accepted
 590 |  -611.477612 | Accepted
 591 |  -611.475120 | Accepted
 593 |  -611.480065 | Accepted
 595 |  -611.478906 | Accepted
 597 |  -611.476514 | Accepted
 598 |  -611.477746 | Accepted
 599 |  -611.479945 | Accepted
 600 |  -611.480499 | Accepted
 601 |  -611.481979 | Accepted
 602 |  -611.481456 | Accepted
 603 |  -611.482778 | Accepted
 604 |  -611.479005 | Accepted
 605 |  -611.476128 | Accepted
 606 |  -611.474853 | Accepted
 607 |  -611.477544 | Accepted
 608 |  -611.478430 | Accepted
 609 |  -611.476196 | Accepted
 610 |  -611.477383 | Accepted
 611 |  -611.473601 | Accepted
 612 |  -611.477805 | Accepted
 614 |  -611.474225 | Accepted
 615 |  -611.475431 | Accepted
 616 |  -611.468294 | Accepted
 617 |  -611.474304 | Accepted
 618 |  -611.473149 | Accepted
 619 |  -611.478238 | Accepted
